Channel,LOB,Product,Category,Total Volume Eaches
Channel 1,LOB 1,Product 1,Category 1,5921
Channel 1,LOB 2,Product 2,Category 2,2
Channel 1,LOB 2,Product 3,Category 2,3
Channel 1,LOB 2,Product 4,Category 2,1
Channel 1,LOB 2,Product 5,Category 2,1
Channel 1,LOB 2,Product 6,Category 2,1
Channel 1,LOB 2,Product 7,Category 2,1
Channel 1,LOB 2,Product 8,Category 2,3
Channel 1,LOB 2,Product 9,Category 2,3
Channel 1,LOB 2,Product 10,Category 2,1
Channel 1,LOB 2,Product 11,Category 2,1
Channel 1,LOB 2,Product 12,Category 2,3
Channel 1,LOB 2,Product 13,Category 2,6
Channel 1,LOB 2,Product 14,Category 2,2
Channel 1,LOB 2,Product 15,Category 2,1
Channel 1,LOB 2,Product 16,Category 2,3
Channel 1,LOB 2,Product 17,Category 2,1
Channel 1,LOB 2,Product 18,Category 2,1
Channel 1,LOB 2,Product 19,Category 2,6
Channel 1,LOB 2,Product 20,Category 2,3
Channel 1,LOB 2,Product 21,Category 2,6
Channel 1,LOB 2,Product 22,Category 2,2
Channel 1,LOB 2,Product 23,Category 2,1
Channel 1,LOB 2,Product 24,Category 2,1
Channel 1,LOB 2,Product 25,Category 2,1
Channel 1,LOB 2,Product 26,Category 2,1
Channel 1,LOB 2,Product 27,Category 2,3
Channel 1,LOB 2,Product 28,Category 2,2
Channel 1,LOB 2,Product 29,Category 2,1
Channel 1,LOB 2,Product 30,Category 2,1
Channel 1,LOB 2,Product 31,Category 2,3
Channel 1,LOB 2,Product 32,Category 2,1
Channel 1,LOB 2,Product 33,Category 2,1
Channel 1,LOB 2,Product 34,Category 2,2
Channel 1,LOB 2,Product 35,Category 2,3
Channel 1,LOB 2,Product 36,Category 2,1
Channel 1,LOB 2,Product 37,Category 2,1
Channel 1,LOB 2,Product 38,Category 2,1
Channel 1,LOB 2,Product 39,Category 2,1
Channel 1,LOB 2,Product 40,Category 2,3
Channel 1,LOB 2,Product 41,Category 2,1
Channel 1,LOB 2,Product 42,Category 2,3
Channel 1,LOB 2,Product 43,Category 2,1
Channel 1,LOB 2,Product 44,Category 2,3
Channel 1,LOB 2,Product 45,Category 2,1
Channel 1,LOB 2,Product 46,Category 2,1
Channel 1,LOB 2,Product 47,Category 2,2
Channel 1,LOB 2,Product 48,Category 2,3
Channel 1,LOB 2,Product 49,Category 2,3
Channel 1,LOB 2,Product 50,Category 2,3
Channel 1,LOB 2,Product 51,Category 2,1
Channel 1,LOB 2,Product 52,Category 2,3
Channel 1,LOB 2,Product 53,Category 2,1
Channel 1,LOB 2,Product 54,Category 2,1
Channel 1,LOB 2,Product 55,Category 2,1
Channel 1,LOB 2,Product 56,Category 1,12
Channel 1,LOB 2,Product 57,Category 2,25
Channel 1,LOB 1,Product 57,Category 2,1
Channel 1,LOB 2,Product 58,Category 2,14
Channel 1,LOB 1,Product 58,Category 2,7
Channel 1,LOB 2,Product 59,Category 1,3
Channel 1,LOB 1,Product 59,Category 1,3
Channel 1,LOB 2,Product 60,Category 1,211
Channel 1,LOB 1,Product 60,Category 1,4615
Channel 1,LOB 2,Product 61,Category 2,18
Channel 1,LOB 2,Product 62,Category 2,18
Channel 1,LOB 2,Product 63,Category 2,10
Channel 1,LOB 1,Product 64,Category 1,9093
Channel 1,LOB 2,Product 65,Category 2,15
Channel 1,LOB 1,Product 65,Category 2,34
Channel 1,LOB 1,Product 66,Category 2,12
Channel 1,LOB 2,Product 67,Category 2,14
Channel 1,LOB 1,Product 68,Category 1,1
Channel 1,LOB 2,Product 69,Category 2,367
Channel 1,LOB 1,Product 69,Category 2,137
Channel 1,LOB 1,Product 70,Category 3,192369
Channel 1,LOB 2,Product 71,Category 2,208
Channel 1,LOB 2,Product 72,Category 2,467
Channel 1,LOB 2,Product 73,Category 3,816
Channel 1,LOB 1,Product 73,Category 3,259
Channel 1,LOB 2,Product 74,Category 2,15
Channel 1,LOB 1,Product 74,Category 2,302
Channel 1,LOB 2,Product 75,Category 4,702
Channel 1,LOB 2,Product 76,Category 2,2503
Channel 1,LOB 1,Product 76,Category 2,928
Channel 1,LOB 2,Product 77,Category 4,24
Channel 1,LOB 2,Product 78,Category 4,24
Channel 1,LOB 2,Product 79,Category 4,24
Channel 1,LOB 1,Product 80,Category 1,1
Channel 1,LOB 1,Product 81,Category 1,7
Channel 1,LOB 2,Product 82,Category 2,27
Channel 1,LOB 2,Product 83,Category 2,2580
Channel 1,LOB 1,Product 83,Category 2,1071
Channel 1,LOB 2,Product 84,Category 2,2579
Channel 1,LOB 1,Product 84,Category 2,292
Channel 1,LOB 2,Product 85,Category 2,3126
Channel 1,LOB 1,Product 85,Category 2,719
Channel 1,LOB 2,Product 86,Category 2,1465
Channel 1,LOB 1,Product 86,Category 2,318
Channel 1,LOB 2,Product 87,Category 2,13907
Channel 1,LOB 1,Product 87,Category 2,572
Channel 1,LOB 2,Product 88,Category 2,1489
Channel 1,LOB 1,Product 88,Category 2,530
Channel 1,LOB 2,Product 89,Category 1,24
Channel 1,LOB 2,Product 90,Category 1,61
Channel 1,LOB 1,Product 90,Category 1,31
Channel 1,LOB 2,Product 91,Category 1,21
Channel 1,LOB 1,Product 91,Category 1,35
Channel 1,LOB 2,Product 92,Category 1,1
Channel 1,LOB 1,Product 92,Category 1,522
Channel 1,LOB 2,Product 93,Category 1,4
Channel 1,LOB 1,Product 93,Category 1,755
Channel 1,LOB 2,Product 94,Category 1,69
Channel 1,LOB 1,Product 94,Category 1,17
Channel 1,LOB 2,Product 95,Category 1,88
Channel 1,LOB 1,Product 95,Category 1,6
Channel 1,LOB 2,Product 96,Category 1,23
Channel 1,LOB 1,Product 96,Category 1,730
Channel 1,LOB 2,Product 97,Category 2,210
Channel 1,LOB 1,Product 97,Category 2,18
Channel 1,LOB 2,Product 98,Category 2,401
Channel 1,LOB 1,Product 98,Category 2,181
Channel 1,LOB 2,Product 99,Category 2,1193
Channel 1,LOB 1,Product 99,Category 2,437
Channel 1,LOB 2,Product 100,Category 2,167
Channel 1,LOB 1,Product 100,Category 2,85
Channel 1,LOB 2,Product 101,Category 1,641
Channel 1,LOB 1,Product 101,Category 1,57
Channel 1,LOB 2,Product 102,Category 1,2
Channel 1,LOB 1,Product 102,Category 1,8
Channel 1,LOB 2,Product 103,Category 2,657
Channel 1,LOB 1,Product 103,Category 2,333
Channel 1,LOB 2,Product 104,Category 2,2199
Channel 1,LOB 1,Product 104,Category 2,896
Channel 1,LOB 2,Product 105,Category 2,294
Channel 1,LOB 1,Product 105,Category 2,160
Channel 1,LOB 2,Product 106,Category 2,337
Channel 1,LOB 1,Product 106,Category 2,248
Channel 1,LOB 1,Product 107,Category 2,4
Channel 1,LOB 2,Product 108,Category 2,954
Channel 1,LOB 1,Product 108,Category 2,696
Channel 1,LOB 2,Product 109,Category 2,2258
